"ModernName","Date"
"brown thrasher",1929-04-23
"chipping sparrow",1929-04-23
"common loon",1929-04-23
"dark-eyed junco",1929-04-23
"eastern towhee",1929-04-23
"field sparrow",1929-04-23
"golden-crowned kinglet",1929-04-23
"grackle",1929-04-23
"hermit thrush",1929-04-23
"herring gull",1929-04-23
"horned grebe",1929-04-23
"lesser scaup",1929-04-23
"northern flicker",1929-04-23
"palm warbler",1929-04-23
"purple finch",1929-04-23
"purple martin",1929-04-23
"red-breasted merganser",1929-04-23
"red-winged blackbird",1929-04-23
"ruby-crowned kinglet",1929-04-23
"song sparrow",1929-04-23
"swamp sparrow",1929-04-23
"white-throated sparrow",1929-04-23
"yellow-bellied sapsucker",1929-04-23
"yellow-rumped warbler",1929-04-23
"american robin",1929-04-24
"american tree sparrow",1929-04-24
"barn swallow",1929-04-24
"black and white warbler",1929-04-24
"bonaparte's gull",1929-04-24
"brown creeper",1929-04-24
"brown thrasher",1929-04-24
"chipping sparrow",1929-04-24
"common loon",1929-04-24
"dark-eyed junco",1929-04-24
"field sparrow",1929-04-24
"golden-crowned kinglet",1929-04-24
"grackle",1929-04-24
"grasshopper sparrow",1929-04-24
"hermit thrush",1929-04-24
"herring gull",1929-04-24
"horned grebe",1929-04-24
"house wren",1929-04-24
"killdeer",1929-04-24
"lesser scaup",1929-04-24
"long-tailed duck",1929-04-24
"mourning dove",1929-04-24
"northern flicker",1929-04-24
"palm warbler",1929-04-24
"pine warbler",1929-04-24
"purple finch",1929-04-24
"purple martin",1929-04-24
"red-breasted merganser",1929-04-24
"red-headed woodpecker",1929-04-24
"red-winged blackbird",1929-04-24
"ruby-crowned kinglet",1929-04-24
"savanna sparrow",1929-04-24
"swainson's thrush",1929-04-24
"swamp sparrow",1929-04-24
"white-throated sparrow",1929-04-24
"yellow-bellied sapsucker",1929-04-24
"yellow-rumped warbler",1929-04-24
"american robin",1929-04-25
"baltimore oriole",1929-04-25
"black and white warbler",1929-04-25
"blue-gray gnatcatcher",1929-04-25
"blue jay",1929-04-25
"bonaparte's gull",1929-04-25
"brown creeper",1929-04-25
"brown thrasher",1929-04-25
"common loon",1929-04-25
"common tern",1929-04-25
"dark-eyed junco",1929-04-25
"eastern bluebird",1929-04-25
"eastern towhee",1929-04-25
"field sparrow",1929-04-25
"grackle",1929-04-25
"gray-cheeked thrush",1929-04-25
"green heron",1929-04-25
"hermit thrush",1929-04-25
"herring gull",1929-04-25
"horned grebe",1929-04-25
"house wren",1929-04-25
"lesser scaup",1929-04-25
"mourning dove",1929-04-25
"northern flicker",1929-04-25
"palm warbler",1929-04-25
"purple martin",1929-04-25
"red-breasted merganser",1929-04-25
"red-headed woodpecker",1929-04-25
"red-winged blackbird",1929-04-25
"ruby-crowned kinglet",1929-04-25
"savanna sparrow",1929-04-25
"song sparrow",1929-04-25
"swainson's thrush",1929-04-25
"swamp sparrow",1929-04-25
"white-throated sparrow",1929-04-25
"yellow-bellied sapsucker",1929-04-25
"yellow-rumped warbler",1929-04-25
"american robin",1929-04-26
"barn swallow",1929-04-26
"belted kingfisher",1929-04-26
"blue jay",1929-04-26
"bonaparte's gull",1929-04-26
"brown creeper",1929-04-26
"common loon",1929-04-26
"common tern",1929-04-26
"dark-eyed junco",1929-04-26
"eastern towhee",1929-04-26
"field sparrow",1929-04-26
"grackle",1929-04-26
"gray-cheeked thrush",1929-04-26
"green heron",1929-04-26
"hermit thrush",1929-04-26
"herring gull",1929-04-26
"horned grebe",1929-04-26
"lesser scaup",1929-04-26
"northern flicker",1929-04-26
"purple finch",1929-04-26
"purple martin",1929-04-26
"red-breasted merganser",1929-04-26
"red-headed woodpecker",1929-04-26
"red-winged blackbird",1929-04-26
"ruby-crowned kinglet",1929-04-26
"song sparrow",1929-04-26
"swainson's thrush",1929-04-26
"swamp sparrow",1929-04-26
"tree swallow",1929-04-26
"white-throated sparrow",1929-04-26
"yellow-bellied sapsucker",1929-04-26
"yellow-rumped warbler",1929-04-26
"american robin",1929-04-27
"barn swallow",1929-04-27
"blue jay",1929-04-27
"bonaparte's gull",1929-04-27
"brown creeper",1929-04-27
"brown thrasher",1929-04-27
"common tern",1929-04-27
"dark-eyed junco",1929-04-27
"eastern bluebird",1929-04-27
"eastern phoebe",1929-04-27
"eastern towhee",1929-04-27
"field sparrow",1929-04-27
"golden-crowned kinglet",1929-04-27
"grackle",1929-04-27
"gray-cheeked thrush",1929-04-27
"hermit thrush",1929-04-27
"herring gull",1929-04-27
"horned grebe",1929-04-27
"least flycatcher",1929-04-27
"lesser scaup",1929-04-27
"palm warbler",1929-04-27
"purple finch",1929-04-27
"purple martin",1929-04-27
"red-breasted merganser",1929-04-27
"red-winged blackbird",1929-04-27
"ruby-crowned kinglet",1929-04-27
"sora",1929-04-27
"white-throated sparrow",1929-04-27
"yellow-rumped warbler",1929-04-27
"american robin",1929-04-28
"barn swallow",1929-04-28
"blue-gray gnatcatcher",1929-04-28
"blue jay",1929-04-28
"bonaparte's gull",1929-04-28
"brown creeper",1929-04-28
"brown thrasher",1929-04-28
"common tern",1929-04-28
"dark-eyed junco",1929-04-28
"downy woodpecker",1929-04-28
"eastern towhee",1929-04-28
"field sparrow",1929-04-28
"golden-crowned kinglet",1929-04-28
"grackle",1929-04-28
"hermit thrush",1929-04-28
"horned grebe",1929-04-28
"lesser scaup",1929-04-28
"northern flicker",1929-04-28
"palm warbler",1929-04-28
"purple martin",1929-04-28
"red-breasted merganser",1929-04-28
"red-winged blackbird",1929-04-28
"ruby-crowned kinglet",1929-04-28
"song sparrow",1929-04-28
"swamp sparrow",1929-04-28
"tree swallow",1929-04-28
"white-throated sparrow",1929-04-28
"yellow-bellied sapsucker",1929-04-28
"yellow-rumped warbler",1929-04-28
"american goldfinch",1929-04-29
"american robin",1929-04-29
"blue jay",1929-04-29
"bonaparte's gull",1929-04-29
"brown creeper",1929-04-29
"brown thrasher",1929-04-29
"common tern",1929-04-29
"dark-eyed junco",1929-04-29
"eastern-meadowlark",1929-04-29
"eastern towhee",1929-04-29
"field sparrow",1929-04-29
"grackle",1929-04-29
"hermit thrush",1929-04-29
"herring gull",1929-04-29
"horned grebe",1929-04-29
"killdeer",1929-04-29
"lesser scaup",1929-04-29
"northern water-thrush",1929-04-29
"palm warbler",1929-04-29
"purple martin",1929-04-29
"red-breasted merganser",1929-04-29
"red-winged blackbird",1929-04-29
"ruby-crowned kinglet",1929-04-29
"swainson's thrush",1929-04-29
"swamp sparrow",1929-04-29
"white-crowned sparrow",1929-04-29
"white-throated sparrow",1929-04-29
"yellow-rumped warbler",1929-04-29
"american robin",1929-04-30
"barn swallow",1929-04-30
"blue jay",1929-04-30
"bonaparte's gull",1929-04-30
"brown creeper",1929-04-30
"brown thrasher",1929-04-30
"common tern",1929-04-30
"eastern towhee",1929-04-30
"field sparrow",1929-04-30
"grackle",1929-04-30
"herring gull",1929-04-30
"horned grebe",1929-04-30
"house wren",1929-04-30
"lesser scaup",1929-04-30
"lincoln sparrow",1929-04-30
"mourning dove",1929-04-30
"northern flicker",1929-04-30
"northern water-thrush",1929-04-30
"orchard oriole",1929-04-30
"palm warbler",1929-04-30
"purple martin",1929-04-30
"red-breasted merganser",1929-04-30
"red-winged blackbird",1929-04-30
"ruby-crowned kinglet",1929-04-30
"savanna sparrow",1929-04-30
"swainson's thrush",1929-04-30
"swamp sparrow",1929-04-30
"white-crowned sparrow",1929-04-30
"white-throated sparrow",1929-04-30
"yellow-rumped warbler",1929-04-30
"american goldfinch",1929-05-01
"american robin",1929-05-01
"black and white warbler",1929-05-01
"blue jay",1929-05-01
"bonaparte's gull",1929-05-01
"brown creeper",1929-05-01
"brown thrasher",1929-05-01
"chimney swift",1929-05-01
"eastern towhee",1929-05-01
"field sparrow",1929-05-01
"grackle",1929-05-01
"hermit thrush",1929-05-01
"herring gull",1929-05-01
"horned grebe",1929-05-01
"house wren",1929-05-01
"lesser scaup",1929-05-01
"marsh wren",1929-05-01
"northern flicker",1929-05-01
"ovenbird",1929-05-01
"palm warbler",1929-05-01
"purple martin",1929-05-01
"red-breasted merganser",1929-05-01
"red-headed woodpecker",1929-05-01
"red-winged blackbird",1929-05-01
"swainson's thrush",1929-05-01
"swamp sparrow",1929-05-01
"white-crowned sparrow",1929-05-01
"white-throated sparrow",1929-05-01
"yellow-bellied sapsucker",1929-05-01
"yellow-rumped warbler",1929-05-01
"yellow warbler",1929-05-01
"american robin",1929-05-02
"black and white warbler",1929-05-02
"blue jay",1929-05-02
"eastern towhee",1929-05-02
"grackle",1929-05-02
"northern flicker",1929-05-02
"purple martin",1929-05-02
"white-throated sparrow",1929-05-02
"yellow-bellied sapsucker",1929-05-02
"american robin",1929-05-03
"blue jay",1929-05-03
"bonaparte's gull",1929-05-03
"brown-headed cowbird",1929-05-03
"brown thrasher",1929-05-03
"common tern",1929-05-03
"eastern towhee",1929-05-03
"grackle",1929-05-03
"gray-cheeked thrush",1929-05-03
"gray catbird",1929-05-03
"hermit thrush",1929-05-03
"herring gull",1929-05-03
"horned grebe",1929-05-03
"house wren",1929-05-03
"lesser scaup",1929-05-03
"lincoln sparrow",1929-05-03
"northern flicker",1929-05-03
"northern water-thrush",1929-05-03
"palm warbler",1929-05-03
"purple martin",1929-05-03
"red-breasted merganser",1929-05-03
"red-headed woodpeckerf",1929-05-03
"red-winged blackbird",1929-05-03
"ruby-crowned kinglet",1929-05-03
"sora",1929-05-03
"swainson's thrush",1929-05-03
"white-crowned sparrow",1929-05-03
"white-throated sparrow",1929-05-03
"yellow-bellied sapsucker",1929-05-03
"yellow-rumped warbler",1929-05-03
"american robin",1929-05-04
"blue jay",1929-05-04
"bonaparte's gull",1929-05-04
"brown-headed cowbird",1929-05-04
"brown thrasher",1929-05-04
"common tern",1929-05-04
"eastern towhee",1929-05-04
"grackle",1929-05-04
"gray-cheeked thrush",1929-05-04
"gray catbird",1929-05-04
"hermit thrush",1929-05-04
"horned grebe",1929-05-04
"house wren",1929-05-04
"killdeer",1929-05-04
"lesser scaup",1929-05-04
"lincoln sparrow",1929-05-04
"northern flicker",1929-05-04
"northern water-thrush",1929-05-04
"palm warbler",1929-05-04
"purple martin",1929-05-04
"red-breasted merganser",1929-05-04
"red-headed woodpecker",1929-05-04
"red-winged blackbird",1929-05-04
"ruby-crowned kinglet",1929-05-04
"spotted sandpiper",1929-05-04
"swainson's thrush",1929-05-04
"white-crowned sparrow",1929-05-04
"white-throated sparrow",1929-05-04
"yellow-rumped warbler",1929-05-04
"american robin",1929-05-05
"black and white warbler",1929-05-05
"blue-gray gnatcatcher",1929-05-05
"blue jay",1929-05-05
"bonaparte's gull",1929-05-05
"brown-headed cowbird",1929-05-05
"brown thrasher",1929-05-05
"common tern",1929-05-05
"dark-eyed junco",1929-05-05
"eastern towhee",1929-05-05
"grackle",1929-05-05
"gray-cheeked thrush",1929-05-05
"hermit thrush",1929-05-05
"horned grebe",1929-05-05
"lesser scaup",1929-05-05
"lincoln sparrow",1929-05-05
"northern flicker",1929-05-05
"palm warbler",1929-05-05
"purple finch",1929-05-05
"purple martin",1929-05-05
"red-breasted merganser",1929-05-05
"red-headed woodpecker",1929-05-05
"red-winged blackbird",1929-05-05
"ruby-crowned kinglet",1929-05-05
"spotted sandpiper",1929-05-05
"swainson's thrush",1929-05-05
"white-crowned sparrow",1929-05-05
"white-throated sparrow",1929-05-05
"yellow-rumped warbler",1929-05-05
"american goldfinch",1929-05-06
"american robin",1929-05-06
"black-throated green warbler",1929-05-06
"black and white warbler",1929-05-06
"blue-gray gnatcatcher",1929-05-06
"blue jay",1929-05-06
"bobolink",1929-05-06
"bonaparte's gull",1929-05-06
"brown creeper",1929-05-06
"brown thrasher",1929-05-06
"common tern",1929-05-06
"common yellowthroat",1929-05-06
"dark-eyed junco",1929-05-06
"eastern towhee",1929-05-06
"field sparrow",1929-05-06
"grackle",1929-05-06
"gray-cheeked thrush",1929-05-06
"gray catbird",1929-05-06
"hermit thrush",1929-05-06
"herring gull",1929-05-06
"king rail",1929-05-06
"lesser scaup",1929-05-06
"lincoln sparrow",1929-05-06
"northern flicker",1929-05-06
"ovenbird",1929-05-06
"palm warbler",1929-05-06
"purple finch",1929-05-06
"purple martin",1929-05-06
"red-breasted merganser",1929-05-06
"red-headed woodpecker",1929-05-06
"red-winged blackbird",1929-05-06
"ruby-crowned kinglet",1929-05-06
"swainson's thrush",1929-05-06
"swamp sparrow",1929-05-06
"veery",1929-05-06
"white-crowned sparrow",1929-05-06
"white-throated sparrow",1929-05-06
"yellow-rumped warbler",1929-05-06
"yellow warbler",1929-05-06
"american goldfinch",1929-05-07
"american robin",1929-05-07
"barn swallow",1929-05-07
"black and white warbler",1929-05-07
"blue jay",1929-05-07
"bonaparte's gull",1929-05-07
"brown-headed cowbird",1929-05-07
"brown creeper",1929-05-07
"brown thrasher",1929-05-07
"clay-colored sparrow",1929-05-07
"common tern",1929-05-07
"dark-eyed junco",1929-05-07
"eastern phoebe",1929-05-07
"eastern towhee",1929-05-07
"field sparrow",1929-05-07
"grackle",1929-05-07
"hermit thrush",1929-05-07
"herring gull",1929-05-07
"house wren",1929-05-07
"killdeer",1929-05-07
"lesser scaup",1929-05-07
"lincoln sparrow",1929-05-07
"nashville warbler",1929-05-07
"northern flicker",1929-05-07
"orange-crowned warbler",1929-05-07
"palm warbler",1929-05-07
"purple martin",1929-05-07
"red-breasted merganser",1929-05-07
"red-winged blackbird",1929-05-07
"ruby-crowned kinglet",1929-05-07
"spotted sandpiper",1929-05-07
"swainson's thrush",1929-05-07
"swamp sparrow",1929-05-07
"veery",1929-05-07
"white-crowned sparrow",1929-05-07
"white-throated sparrow",1929-05-07
"yellow-rumped warbler",1929-05-07
"american goldfinch",1929-05-08
"american robin",1929-05-08
"baltimore oriole",1929-05-08
"blue-headed vireo",1929-05-08
"bonaparte's gull",1929-05-08
"brown thrasher",1929-05-08
"common tern",1929-05-08
"eastern-meadowlark",1929-05-08
"eastern towhee",1929-05-08
"field sparrow",1929-05-08
"grackle",1929-05-08
"hermit thrush",1929-05-08
"herring gull",1929-05-08
"horned grebe",1929-05-08
"house wren",1929-05-08
"killdeer",1929-05-08
"lesser scaup",1929-05-08
"lincoln sparrow",1929-05-08
"northern flicker",1929-05-08
"northern water-thrush",1929-05-08
"palm warbler",1929-05-08
"purple martin",1929-05-08
"red-breasted merganser",1929-05-08
"red-headed woodpecker",1929-05-08
"red-winged blackbird",1929-05-08
"ruby-crowned kinglet",1929-05-08
"savanna sparrow",1929-05-08
"song sparrow",1929-05-08
"spotted sandpiper",1929-05-08
"swainson's thrush",1929-05-08
"swamp sparrow",1929-05-08
"white-throated sparrow",1929-05-08
"yellow-rumped warbler",1929-05-08
"american robin",1929-05-09
"barn swallow",1929-05-09
"black-throated green warbler",1929-05-09
"black and white warbler",1929-05-09
"blue jay",1929-05-09
"bonaparte's gull",1929-05-09
"brown thrasher",1929-05-09
"common tern",1929-05-09
"eastern towhee",1929-05-09
"grackle",1929-05-09
"gray catbird",1929-05-09
"hermit thrush",1929-05-09
"herring gull",1929-05-09
"house wren",1929-05-09
"lesser scaup",1929-05-09
"lincoln sparrow",1929-05-09
"nashville warbler",1929-05-09
"northern flicker",1929-05-09
"northern water-thrush",1929-05-09
"ovenbird",1929-05-09
"palm warbler",1929-05-09
"purple martin",1929-05-09
"red-breasted merganser",1929-05-09
"red-headed woodpecker",1929-05-09
"red-winged blackbird",1929-05-09
"ruby-crowned kinglet",1929-05-09
"spotted sandpiper",1929-05-09
"swamp sparrow",1929-05-09
"white-crowned sparrow",1929-05-09
"white-throated sparrow",1929-05-09
"yellow-bellied sapsucker",1929-05-09
"yellow-rumped warbler",1929-05-09
"yellow warbler",1929-05-09
"american goldfinch",1929-05-10
"american redstart",1929-05-10
"american robin",1929-05-10
"barn swallow",1929-05-10
"black-throated blue warbler",1929-05-10
"black-throated green warbler",1929-05-10
"blue jay",1929-05-10
"bonaparte's gull",1929-05-10
"brown-headed cowbird",1929-05-10
"brown thrasher",1929-05-10
"common tern",1929-05-10
"eastern kingbird",1929-05-10
"eastern towhee",1929-05-10
"grackle",1929-05-10
"gray-cheeked thrush",1929-05-10
"gray catbird",1929-05-10
"herring gull",1929-05-10
"killdeer",1929-05-10
"least flycatcher",1929-05-10
"lesser scaup",1929-05-10
"lincoln sparrow",1929-05-10
"northern flicker",1929-05-10
"northern water-thrush",1929-05-10
"ovenbird",1929-05-10
"palm warbler",1929-05-10
"purple martin",1929-05-10
"red-breasted merganser",1929-05-10
"red-headed woodpecker",1929-05-10
"red-winged blackbird",1929-05-10
"rose-breasted grosbeak",1929-05-10
"ruby-crowned kinglet",1929-05-10
"savanna sparrow",1929-05-10
"spotted sandpiper",1929-05-10
"swainson's thrush",1929-05-10
"swamp sparrow",1929-05-10
"white-crowned sparrow",1929-05-10
"white-throated sparrow",1929-05-10
"wood thrush",1929-05-10
"yellow-rumped warbler",1929-05-10
"yellow warbler",1929-05-10
"american goldfinch",1929-05-11
"american redstart",1929-05-11
"american robin",1929-05-11
"baltimore oriole",1929-05-11
"black-throated blue warbler",1929-05-11
"black-throated green warbler",1929-05-11
"black and white warbler",1929-05-11
"blackburnian warbler",1929-05-11
"blue-headed vireo",1929-05-11
"blue jay",1929-05-11
"brown thrasher",1929-05-11
"cape may warbler",1929-05-11
"chestnut-sided warbler",1929-05-11
"clay-colored sparrow",1929-05-11
"common tern",1929-05-11
"common yellowthroat",1929-05-11
"dickcissel",1929-05-11
"eastern kingbird",1929-05-11
"eastern towhee",1929-05-11
"field sparrow",1929-05-11
"grackle",1929-05-11
"gray-cheeked thrush",1929-05-11
"gray catbird",1929-05-11
"great-crested flycatcher",1929-05-11
"green heron",1929-05-11
"indigo bunting",1929-05-11
"least flycatcher",1929-05-11
"lincoln sparrow",1929-05-11
"magnolia warbler",1929-05-11
"nashville warbler",1929-05-11
"northern water-thrush",1929-05-11
"orchard oriole",1929-05-11
"ovenbird",1929-05-11
"palm warbler",1929-05-11
"purple martin",1929-05-11
"red-headed woodpecker",1929-05-11
"rose-breasted grosbeak",1929-05-11
"ruby-crowned kinglet",1929-05-11
"savanna sparrow",1929-05-11
"solitary sandpiper",1929-05-11
"spotted sandpiper",1929-05-11
"swainson's thrush",1929-05-11
"swamp sparrow",1929-05-11
"veery",1929-05-11
"white-crowned sparrow",1929-05-11
"white-throated sparrow",1929-05-11
"wilson's warbler",1929-05-11
"wood thrush",1929-05-11
"yellow-bellied sapsucker",1929-05-11
"yellow-rumped warbler",1929-05-11
"yellow warbler",1929-05-11
"american redstart",1929-05-12
"american robin",1929-05-12
"baltimore oriole",1929-05-12
"black and white warbler",1929-05-12
"blackburnian warbler",1929-05-12
"blue-headed vireo",1929-05-12
"blue jay",1929-05-12
"brown thrasher",1929-05-12
"cape may warbler",1929-05-12
"chipping sparrow",1929-05-12
"grackle",1929-05-12
"gray-cheeked thrush",1929-05-12
"gray catbird",1929-05-12
"green heron",1929-05-12
"magnolia warbler",1929-05-12
"nashville warbler",1929-05-12
"northern water-thrush",1929-05-12
"palm warbler",1929-05-12
"red-headed woodpecker",1929-05-12
"rose-breasted grosbeak",1929-05-12
"ruby-crowned kinglet",1929-05-12
"swainson's thrush",1929-05-12
"veery",1929-05-12
"white-crowned sparrow",1929-05-12
"white-throated sparrow",1929-05-12
"american goldfinch",1929-05-13
"american redstart",1929-05-13
"american robin",1929-05-13
"baltimore oriole",1929-05-13
"black-throated green warbler",1929-05-13
"black and white warbler",1929-05-13
"blackburnian warbler",1929-05-13
"blue-headed vireo",1929-05-13
"blue jay",1929-05-13
"bonaparte's gull",1929-05-13
"brown thrasher",1929-05-13
"cape may warbler",1929-05-13
"chestnut-sided warbler",1929-05-13
"clay-colored sparrow",1929-05-13
"common tern",1929-05-13
"common yellowthroat",1929-05-13
"dark-eyed junco",1929-05-13
"downy woodpecker",1929-05-13
"eastern towhee",1929-05-13
"grackle",1929-05-13
"gray-cheeked thrush",1929-05-13
"gray catbird",1929-05-13
"hermit thrush",1929-05-13
"herring gull",1929-05-13
"house wren",1929-05-13
"least flycatcher",1929-05-13
"lincoln sparrow",1929-05-13
"magnolia warbler",1929-05-13
"marsh wren",1929-05-13
"nashville warbler",1929-05-13
"northern flicker",1929-05-13
"northern water-thrush",1929-05-13
"palm warbler",1929-05-13
"purple finch",1929-05-13
"purple martin",1929-05-13
"red-headed woodpecker",1929-05-13
"rose-breasted grosbeak",1929-05-13
"ruby-crowned kinglet",1929-05-13
"swainson's thrush",1929-05-13
"swamp sparrow",1929-05-13
"white-crowned sparrow",1929-05-13
"white-throated sparrow",1929-05-13
"wilson's warbler",1929-05-13
"yellow-rumped warbler",1929-05-13
"yellow warbler",1929-05-13
"american robin",1929-05-14
"grackle",1929-05-14
"american goldfinch",1929-05-15
"american redstart",1929-05-15
"american robin",1929-05-15
"baltimore oriole",1929-05-15
"bay-breasted warbler",1929-05-15
"black-poll warbler",1929-05-15
"black-throated blue warbler",1929-05-15
"black-throated green warbler",1929-05-15
"black and white warbler",1929-05-15
"blackburnian warbler",1929-05-15
"blue jay",1929-05-15
"brown thrasher",1929-05-15
"cape may warbler",1929-05-15
"chimney swift",1929-05-15
"common tern",1929-05-15
"common yellowthroat",1929-05-15
"eastern towhee",1929-05-15
"grackle",1929-05-15
"gray-cheeked thrush",1929-05-15
"gray catbird",1929-05-15
"great-crested flycatcher",1929-05-15
"indigo bunting",1929-05-15
"least flycatcher",1929-05-15
"magnolia warbler",1929-05-15
"nashville warbler",1929-05-15
"northern mockingbird",1929-05-15
"northern water-thrush",1929-05-15
"orchard oriole",1929-05-15
"ovenbird",1929-05-15
"palm warbler",1929-05-15
"purple martin",1929-05-15
"red-headed woodpecker",1929-05-15
"rose-breasted grosbeak",1929-05-15
"ruby-crowned kinglet",1929-05-15
"swainson's thrush",1929-05-15
"veery",1929-05-15
"white-crowned sparrow",1929-05-15
"white-throated sparrow",1929-05-15
"wilson's warbler",1929-05-15
"yellow-rumped warbler",1929-05-15
"yellow-throated vireo",1929-05-15
"yellow warbler",1929-05-15
"american goldfinch",1929-05-16
"american redstart",1929-05-16
"american robin",1929-05-16
"baltimore oriole",1929-05-16
"black-poll warbler",1929-05-16
"black-throated blue warbler",1929-05-16
"black-throated green warbler",1929-05-16
"black and white warbler",1929-05-16
"blackburnian warbler",1929-05-16
"blue-headed vireo",1929-05-16
"blue jay",1929-05-16
"brown-headed cowbird",1929-05-16
"brown thrasher",1929-05-16
"chestnut-sided warbler",1929-05-16
"clay-colored sparrow",1929-05-16
"common yellowthroat",1929-05-16
"eastern towhee",1929-05-16
"grackle",1929-05-16
"gray-cheeked thrush",1929-05-16
"gray catbird",1929-05-16
"great-crested flycatcher",1929-05-16
"herring gull",1929-05-16
"house wren",1929-05-16
"least flycatcher",1929-05-16
"lincoln sparrow",1929-05-16
"magnolia warbler",1929-05-16
"mourning warbler",1929-05-16
"nashville warbler",1929-05-16
"northern flicker",1929-05-16
"northern parlua",1929-05-16
"orchard oriole",1929-05-16
"ovenbird",1929-05-16
"palm warbler",1929-05-16
"purple martin",1929-05-16
"red-headed woodpecker",1929-05-16
"ruby-crowned kinglet",1929-05-16
"ruby-throated hummingbird",1929-05-16
"swainson's thrush",1929-05-16
"white-crowned sparrow",1929-05-16
"white-throated sparrow",1929-05-16
"wilson's thrush",1929-05-16
"wilson's warbler",1929-05-16
"yellow-rumped warbler",1929-05-16
"yellow warbler",1929-05-16
"american goldfinch",1929-05-17
"american redstart",1929-05-17
"american robin",1929-05-17
"baltimore oriole",1929-05-17
"black-poll warbler",1929-05-17
"black-throated blue warbler",1929-05-17
"black-throated green warbler",1929-05-17
"black and white warbler",1929-05-17
"blackburnian warbler",1929-05-17
"blue-headed vireo",1929-05-17
"blue jay",1929-05-17
"bobolink",1929-05-17
"brown-headed cowbird",1929-05-17
"brown thrasher",1929-05-17
"chestnut-sided warbler",1929-05-17
"common tern",1929-05-17
"common yellowthroat",1929-05-17
"eastern towhee",1929-05-17
"grackle",1929-05-17
"gray-cheeked thrush",1929-05-17
"gray catbird",1929-05-17
"herring gull",1929-05-17
"house wren",1929-05-17
"indigo bunting",1929-05-17
"least flycatcher",1929-05-17
"lincoln sparrow",1929-05-17
"magnolia warbler",1929-05-17
"nashville warbler",1929-05-17
"northern flicker",1929-05-17
"northern parlua",1929-05-17
"orange-crowned warbler",1929-05-17
"palm warbler",1929-05-17
"prairie warbler",1929-05-17
"purple martin",1929-05-17
"red-headed woodpecker",1929-05-17
"ruby-crowned kinglet",1929-05-17
"spotted sandpiper",1929-05-17
"swainson's thrush",1929-05-17
"swamp sparrow",1929-05-17
"white-crowned sparrow",1929-05-17
"white-throated sparrow",1929-05-17
"wilson's thrush",1929-05-17
"wilson's warbler",1929-05-17
"yellow-rumped warbler",1929-05-17
"yellow warbler",1929-05-17
"american goldfinch",1929-05-18
"american redstart",1929-05-18
"american robin",1929-05-18
"baltimore oriole",1929-05-18
"black-poll warbler",1929-05-18
"black-throated blue warbler",1929-05-18
"black-throated green warbler",1929-05-18
"black and white warbler",1929-05-18
"blackburnian warbler",1929-05-18
"blue jay",1929-05-18
"brown thrasher",1929-05-18
"canadian warbler",1929-05-18
"cape may warbler",1929-05-18
"chestnut-sided warbler",1929-05-18
"chipping sparrow",1929-05-18
"common tern",1929-05-18
"common yellowthroat",1929-05-18
"dark-eyed junco",1929-05-18
"eastern towhee",1929-05-18
"eastern wood-pewee",1929-05-18
"grackle",1929-05-18
"gray-cheeked thrush",1929-05-18
"gray catbird",1929-05-18
"great-crested flycatcher",1929-05-18
"green heron",1929-05-18
"least flycatcher",1929-05-18
"lincoln sparrow",1929-05-18
"magnolia warbler",1929-05-18
"nashville warbler",1929-05-18
"northern flicker",1929-05-18
"northern parlua",1929-05-18
"orange-crowned warbler",1929-05-18
"ovenbird",1929-05-18
"palm warbler",1929-05-18
"purple martin",1929-05-18
"red-headed woodpecker",1929-05-18
"rose-breasted grosbeak",1929-05-18
"ruby-crowned kinglet",1929-05-18
"sora",1929-05-18
"swainson's thrush",1929-05-18
"tennessee warbler",1929-05-18
"white-crowned sparrow",1929-05-18
"white-throated sparrow",1929-05-18
"wilson's warbler",1929-05-18
"yellow-rumped warbler",1929-05-18
"american redstart",1929-05-19
"american robin",1929-05-19
"black-throated blue warbler",1929-05-19
"black and white warbler",1929-05-19
"blackburnian warbler",1929-05-19
"blue jay",1929-05-19
"brown thrasher",1929-05-19
"cape may warbler",1929-05-19
"clay-colored sparrow",1929-05-19
"common tern",1929-05-19
"common yellowthroat",1929-05-19
"eastern towhee",1929-05-19
"grackle",1929-05-19
"gray-cheeked thrush",1929-05-19
"gray catbird",1929-05-19
"herring gull",1929-05-19
"indigo bunting",1929-05-19
"least flycatcher",1929-05-19
"lincoln sparrow",1929-05-19
"magnolia warbler",1929-05-19
"marsh wren",1929-05-19
"nashville warbler",1929-05-19
"northern water-thrush",1929-05-19
"ovenbird",1929-05-19
"palm warbler",1929-05-19
"purple martin",1929-05-19
"red-headed woodpecker",1929-05-19
"rose-breasted grosbeak",1929-05-19
"rough-winged swallow",1929-05-19
"ruby-crowned kinglet",1929-05-19
"ruby-throated hummingbird",1929-05-19
"swainson's thrush",1929-05-19
"tennessee warbler",1929-05-19
"white-throated sparrow",1929-05-19
"wilson's thrush",1929-05-19
"wilson's warbler",1929-05-19
"wood thrush",1929-05-19
"yellow-rumped warbler",1929-05-19
"american goldfinch",1929-05-20
"american redstart",1929-05-20
"american robin",1929-05-20
"baltimore oriole",1929-05-20
"black-poll warbler",1929-05-20
"black-throated blue warbler",1929-05-20
"black and white warbler",1929-05-20
"blackburnian warbler",1929-05-20
"blue-headed vireo",1929-05-20
"blue jay",1929-05-20
"bonaparte's gull",1929-05-20
"brown-headed cowbird",1929-05-20
