"SP","SPEC","CONF","COMMONNAME","SCINAME","SPEC6","CONF6","lowername"
NA,"SPCA","*","Spot-crowned Antvireo","Dysithamnus puncticeps","DYSPUN",NA,"spot crowned antvireo"
NA,"MOAN",NA,"Moustached Antwren","Myrmotherula ignota","MYRIGN",NA,"moustached antwren"
NA,"PAAN",NA,"Pacific Antwren","Myrmotherula pacifica","MYRPAC",NA,"pacific antwren"
NA,"WFLA","*","White-flanked Antwren","Myrmotherula axillaris","MYRAXI",NA,"white flanked antwren"
NA,"SLAN",NA,"Slaty Antwren","Myrmotherula schisticolor","MYRSCH",NA,"slaty antwren"
NA,"CTAN",NA,"Checker-throated Antwren","Epinecrophylla fulviventris","EPIFUL",NA,"checker throated antwren"
NA,"RWAN",NA,"Rufous-winged Antwren","Herpsilochmus rufimarginatus","HERRUF",NA,"rufous winged antwren"
NA,"DWAN",NA,"Dot-winged Antwren","Microrhopias quixensis","MICQUI",NA,"dot winged antwren"
NA,"WFRA","*","White-fringed Antwren","Formicivora grisea","FORGRI",NA,"white fringed antwren"
NA,"RRAN",NA,"Rufous-rumped Antwren","Euchrepomis callinota","EUCCAL",NA,"rufous rumped antwren"
NA,"DUAN",NA,"Dusky Antbird","Cercomacroides tyrannina","CERTYR",NA,"dusky antbird"
NA,"JEAN",NA,"Jet Antbird","Cercomacra nigricans","CERNIG",NA,"jet antbird"
NA,"BACA","*","Bare-crowned Antbird","Gymnocichla nudiceps","GYMNUD",NA,"bare crowned antbird"
NA,"WBEA","*","White-bellied Antbird","Myrmeciza longipes","MYRLON",NA,"white bellied antbird"
NA,"CBAN",NA,"Chestnut-backed Antbird","Myrmeciza exsul","MYREXS",NA,"chestnut backed antbird"
NA,"DMAN",NA,"Dull-mantled Antbird","Myrmeciza laemosticta","MYRLAE",NA,"dull mantled antbird"
NA,"ZEAN",NA,"Zeledon's Antbird","Myrmeciza zeledoni","MYRZEL",NA,"zeledons antbird"
NA,"SPAN",NA,"Spotted Antbird","Hylophylax naevioides","HYLNAE",NA,"spotted antbird"
NA,"WBAA","*","Wing-banded Antbird","Myrmornis torquata","MYRTOR",NA,"wing banded antbird"
NA,"BIAN",NA,"Bicolored Antbird","Gymnopithys bicolor","GYMBIC",NA,"bicolored antbird"
NA,"OCAN",NA,"Ocellated Antbird","Phaenostictus mcleannani","PHAMCL",NA,"ocellated antbird"
NA,"BCAP","*","Black-crowned Antpitta","Pittasoma michleri","PITMIC",NA,"black crowned antpitta"
NA,"SCAA","*","Scaled Antpitta","Grallaria guatimalensis","GRAGUA",NA,"scaled antpitta"
NA,"SCHA","*","Streak-chested Antpitta","Hylopezus perspicillatus","HYLPER",NA,"streak chested antpitta"
NA,"THAN",NA,"Thicket Antpitta","Hylopezus dives","HYLDIV",NA,"thicket antpitta"
NA,"OBAN",NA,"Ochre-breasted Antpitta","Grallaricula flavirostris","GRAFLA",NA,"ochre breasted antpitta"
NA,"TATA",NA,"Tacarcuna Tapaculo","Scytalopus panamensis","SCYPAN",NA,"tacarcuna tapaculo"
NA,"CHTA",NA,"Choco Tapaculo","Scytalopus chocoensis","SCYCHO",NA,"choco tapaculo"
NA,"SFTA",NA,"Silvery-fronted Tapaculo","Scytalopus argentifrons","SCYARG",NA,"silvery fronted tapaculo"
NA,"BFAN",NA,"Black-faced Antthrush","Formicarius analis","FORANA",NA,"black faced antthrush"
NA,"BHEA","*","Black-headed Antthrush","Formicarius nigricapillus","FORNIG",NA,"black headed antthrush"
NA,"RBAN",NA,"Rufous-breasted Antthrush","Formicarius rufipectus","FORRUF",NA,"rufous breasted antthrush"
NA,"TTLE",NA,"Tawny-throated Leaftosser","Sclerurus mexicanus","SCLMEX",NA,"tawny throated leaftosser"
NA,"GTLE",NA,"Gray-throated Leaftosser","Sclerurus albigularis","SCLALB",NA,"gray throated leaftosser"
NA,"STLE",NA,"Scaly-throated Leaftosser","Sclerurus guatemalensis","SCLGUA",NA,"scaly throated leaftosser"
NA,"OLWO",NA,"Olivaceous Woodcreeper","Sittasomus griseicapillus","SITGRI",NA,"olivaceous woodcreeper"
NA,"LTWO",NA,"Long-tailed Woodcreeper","Deconychura longicauda","DECLON",NA,"long tailed woodcreeper"
NA,"RUWO",NA,"Ruddy Woodcreeper","Dendrocincla homochroa","DENHOM",NA,"ruddy woodcreeper"
NA,"TWWO",NA,"Tawny-winged Woodcreeper","Dendrocincla anabatina","DENANA",NA,"tawny winged woodcreeper"
NA,"PBRW","*","Plain-brown Woodcreeper","Dendrocincla fuliginosa","DENFUA","*","plain brown woodcreeper"
NA,"WBWO",NA,"Wedge-billed Woodcreeper","Glyphorynchus spirurus","GLYSPI",NA,"wedge billed woodcreeper"
NA,"NOBW",NA,"Northern Barred-Woodcreeper","Dendrocolaptes sanctithomae","DENSAN",NA,"northern barred woodcreeper"
NA,"BBNW","*","Black-banded Woodcreeper","Dendrocolaptes picumnus","DENPIM","*","black banded woodcreeper"
NA,"SNBW","*","Strong-billed Woodcreeper","Xiphocolaptes promeropirhynchus","XIPPRO",NA,"strong billed woodcreeper"
NA,"COWO",NA,"Cocoa Woodcreeper","Xiphorhynchus susurrans","XIPSUS",NA,"cocoa woodcreeper"
NA,"IBIW","*","Ivory-billed Woodcreeper","Xiphorhynchus flavigaster","XIPFLA",NA,"ivory billed woodcreeper"
NA,"BSWO",NA,"Black-striped Woodcreeper","Xiphorhynchus lachrymosus","XIPLAC",NA,"black striped woodcreeper"
NA,"SPWO",NA,"Spotted Woodcreeper","Xiphorhynchus erythropygius","XIPERY",NA,"spotted woodcreeper"
NA,"SGBW","*","Straight-billed Woodcreeper","Dendroplex picus","DENPIS","*","straight billed woodcreeper"
NA,"RBSC",NA,"Red-billed Scythebill","Campylorhamphus trochilirostris","CAMTRO",NA,"red billed scythebill"
NA,"BBSC",NA,"Brown-billed Scythebill","Campylorhamphus pusillus","CAMPUS",NA,"brown billed scythebill"
NA,"WSWO",NA,"White-striped Woodcreeper","Lepidocolaptes leucogaster","LEPLEU",NA,"white striped woodcreeper"
NA,"SHWO",NA,"Streak-headed Woodcreeper","Lepidocolaptes souleyetii","LEPSOU",NA,"streak headed woodcreeper"
NA,"SCRW","*","Spot-crowned Woodcreeper","Lepidocolaptes affinis","LEPAFF",NA,"spot crowned woodcreeper"
NA,"PLXE",NA,"Plain Xenops","Xenops minutus","XENMIT","*","plain xenops"
NA,"STXE",NA,"Streaked Xenops","Xenops rutilans","XENRUT",NA,"streaked xenops"
NA,"BUTU",NA,"Buffy Tuftedcheek","Pseudocolaptes lawrencii","PSELAW",NA,"buffy tuftedcheek"
NA,"STST",NA,"Sharp-tailed Streamcreeper","Lochmias nematura","LOCNEM",NA,"sharp tailed streamcreeper"
NA,"SWFG",NA,"Slaty-winged Foliage-gleaner","Philydor fuscipenne","PHIFUS",NA,"slaty winged foliage gleaner"
NA,"BFFG",NA,"Buff-fronted Foliage-gleaner","Philydor rufum","PHIRUF",NA,"buff fronted foliage gleaner"
NA,"STFG",NA,"Scaly-throated Foliage-gleaner","Anabacerthia variegaticeps","ANAVAR",NA,"scaly throated foliage gleaner"
NA,"LIFG",NA,"Lineated Foliage-gleaner","Syndactyla subalaris","SYNSUB",NA,"lineated foliage gleaner"
NA,"RUFG",NA,"Ruddy Foliage-gleaner","Clibanornis rubiginosus","CLIRUB",NA,"ruddy foliage gleaner"
NA,"SBTR",NA,"Streak-breasted Treehunter","Thripadectes rufobrunneus","THRRUB","*","streak breasted treehunter"
NA,"BTFG",NA,"Buff-throated Foliage-gleaner","Automolus ochrolaemus","AUTOCH",NA,"buff throated foliage gleaner"
NA,"CHFG",NA,"Chiriqui Foliage-gleaner","Automolus exsertus","AUTEXS",NA,"chiriqui foliage gleaner"
NA,"STPW","*","Striped Woodhaunter","Automolus subulatus","AUTSUB",NA,"striped woodhaunter"
NA,"SPBA",NA,"Spotted Barbtail","Premnoplex brunnescens","PREBRU",NA,"spotted barbtail"
NA,"BETR",NA,"Beautiful Treerunner","Margarornis bellulus","MARBEL",NA,"beautiful treerunner"
NA,"RUTR",NA,"Ruddy Treerunner","Margarornis rubiginosus","MARRUB",NA,"ruddy treerunner"
NA,"DBGR",NA,"Double-banded Graytail","Xenerpestes minlosi","XENMIL","*","double banded graytail"
NA,"RFSP",NA,"Red-faced Spinetail","Cranioleuca erythrops","CRAERY",NA,"red faced spinetail"
NA,"COSP",NA,"Coiba Spinetail","Cranioleuca dissita","CRADIS",NA,"coiba spinetail"
NA,"PBSP",NA,"Pale-breasted Spinetail","Synallaxis albescens","SYNALB",NA,"pale breasted spinetail"
NA,"SLSP",NA,"Slaty Spinetail","Synallaxis brachyura","SYNBRA",NA,"slaty spinetail"
NA,"RBSP",NA,"Rufous-breasted Spinetail","Synallaxis erythrothorax","SYNERY",NA,"rufous breasted spinetail"
NA,"LATM","*","Lance-tailed Manakin","Chiroxiphia lanceolata","CHILAN",NA,"lance tailed manakin"
NA,"LOTM","*","Long-tailed Manakin","Chiroxiphia linearis","CHILIN",NA,"long tailed manakin"
NA,"WRMA",NA,"White-ruffed Manakin","Corapipo altera","CORALT",NA,"white ruffed manakin"
NA,"GMAK","*","Green Manakin","Cryptopipo holochlora","CRYHOL",NA,"green manakin"
NA,"BCRM","*","Blue-crowned Manakin","Lepidothrix coronata","LEPCOR",NA,"blue crowned manakin"
NA,"WCOM","*","White-collared Manakin","Manacus candei","MANCAN",NA,"white collared manakin"
NA,"OCMA",NA,"Orange-collared Manakin","Manacus aurantiacus","MANAUR",NA,"orange collared manakin"
NA,"GCMA",NA,"Golden-collared Manakin","Manacus vitellinus","MANVIT",NA,"golden collared manakin"
NA,"WCRM","*","White-crowned Manakin","Dixiphia pipra","DIXPIP",NA,"white crowned manakin"
NA,"RCMA",NA,"Red-capped Manakin","Ceratopipra mentalis","CERMEN",NA,"red capped manakin"
NA,"GHMA",NA,"Golden-headed Manakin","Ceratopipra erythrocephala","CERERY",NA,"golden headed manakin"
NA,"PTFR",NA,"Purple-throated Fruitcrow","Querula purpurata","QUEPUR",NA,"purple throated fruitcrow"
NA,"BNUM",NA,"Bare-necked Umbrellabird","Cephalopterus glabricollis","CEPGLA",NA,"bare necked umbrellabird"
NA,"LOCO",NA,"Lovely Cotinga","Cotinga amabilis","COTAMA",NA,"lovely cotinga"
NA,"TUCO",NA,"Turquoise Cotinga","Cotinga ridgwayi","COTRID",NA,"turquoise cotinga"
NA,"BLCO",NA,"Blue Cotinga","Cotinga nattererii","COTNAT",NA,"blue cotinga"
NA,"RUFP","*","Rufous Piha","Lipaugus unirufus","LIPUNI",NA,"rufous piha"
NA,"TWBE",NA,"Three-wattled Bellbird","Procnias tricarunculatus","PROTRI",NA,"three wattled bellbird"
NA,"BTCO",NA,"Black-tipped Cotinga","Carpodectes hopkei","CARHOP",NA,"black tipped cotinga"
NA,"YBCO",NA,"Yellow-billed Cotinga","Carpodectes antoniae","CARANT",NA,"yellow billed cotinga"
NA,"SNCO",NA,"Snowy Cotinga","Carpodectes nitidus","CARNIT",NA,"snowy cotinga"
NA,"NOSC",NA,"Northern Schiffornis","Schiffornis veraepacis","SCHVER",NA,"northern schiffornis"
NA,"RWSC",NA,"Russet-winged Schiffornis","Schiffornis stenorhyncha","SCHSTE",NA,"russet winged schiffornis"
NA,"SPMO",NA,"Speckled Mourner","Laniocera rufescens","LANRUF",NA,"speckled mourner"
NA,"MATI",NA,"Masked Tityra","Tityra semifasciata","TITSEM",NA,"masked tityra"
NA,"BCRT","*","Black-crowned Tityra","Tityra inquisitor","TITINQ",NA,"black crowned tityra"
NA,"BABE",NA,"Barred Becard","Pachyramphus versicolor","PACVER",NA,"barred becard"
NA,"CIRB","*","Cinereous Becard","Pachyramphus rufus","PACRUF",NA,"cinereous becard"
NA,"CIMB","*","Cinnamon Becard","Pachyramphus cinnamomeus","PACCIN",NA,"cinnamon becard"
NA,"WWBE",NA,"White-winged Becard","Pachyramphus polychopterus","PACPOL",NA,"white winged becard"
NA,"BAWB",NA,"Black-and-white Becard","Pachyramphus albogriseus","PACALB",NA,"black and white becard"
NA,"GCBE",NA,"Gray-collared Becard","Pachyramphus major","PACMAJ",NA,"gray collared becard"
NA,"RTBE",NA,"Rose-throated Becard","Pachyramphus aglaiae","PACAGL",NA,"rose throated becard"
NA,"OCBE",NA,"One-colored Becard","Pachyramphus homochrous","PACHOM",NA,"one colored becard"
NA,"JABE",NA,"Jamaican Becard","Pachyramphus niger","PACNIG",NA,"jamaican becard"
NA,"SHAR",NA,"Sharpbill","Oxyruncus cristatus","OXYCRI",NA,"sharpbill"
NA,"ROFL",NA,"Royal Flycatcher","Onychorhynchus coronatus","ONYCOR",NA,"royal flycatcher"
NA,"RDTF","*","Ruddy-tailed Flycatcher","Terenotriccus erythrurus","TERERY",NA,"ruddy tailed flycatcher"
NA,"TBFL",NA,"Tawny-breasted Flycatcher","Myiobius villosus","MYIVIL",NA,"tawny breasted flycatcher"
NA,"SRFL",NA,"Sulphur-rumped Flycatcher","Myiobius sulphureipygius","MYISUL",NA,"sulphur rumped flycatcher"
NA,"BTFL",NA,"Black-tailed Flycatcher","Myiobius atricaudus","MYIATD","*","black tailed flycatcher"
NA,"GHPI",NA,"Gray-headed Piprites","Piprites griseiceps","PIPGRI",NA,"gray headed piprites"
NA,"SBTS","*","Stub-tailed Spadebill","Platyrinchus cancrominus","PLACAN",NA,"stub tailed spadebill"
NA,"WTRS","*","White-throated Spadebill","Platyrinchus mystaceus","PLAMYS",NA,"white throated spadebill"
NA,"GCRS","*","Golden-crowned Spadebill","Platyrinchus coronatus","PLACOR",NA,"golden crowned spadebill"
NA,"OSTF","*","Olive-striped Flycatcher","Mionectes olivaceus","MIOOLI",NA,"olive striped flycatcher"
NA,"OBFL",NA,"Ochre-bellied Flycatcher","Mionectes oleagineus","MIOOLE",NA,"ochre bellied flycatcher"
NA,"SECF","*","Sepia-capped Flycatcher","Leptopogon amaurocephalus","LEPAMA",NA,"sepia capped flycatcher"
NA,"SLCF","*","Slaty-capped Flycatcher","Leptopogon superciliaris","LEPSUP",NA,"slaty capped flycatcher"
NA,"YGTY",NA,"Yellow-green Tyrannulet","Phylloscartes flavovirens","PHYFLA",NA,"yellow green tyrannulet"
NA,"RBTY",NA,"Rufous-browed Tyrannulet","Phylloscartes superciliaris","PHYSUP",NA,"rufous browed tyrannulet"
NA,"BOPT",NA,"Bronze-olive Pygmy-Tyrant","Pseudotriccus pelzelni","PSEPEL",NA,"bronze olive pygmy tyrant"
NA,"BPYT","*","Black-capped Pygmy-Tyrant","Myiornis atricapillus","MYIATP","*","black capped pygmy tyrant"
NA,"SCPT",NA,"Scale-crested Pygmy-Tyrant","Lophotriccus pileatus","LOPPIT","*","scale crested pygmy tyrant"
NA,"PEPT",NA,"Pale-eyed Pygmy-Tyrant","Lophotriccus pilaris","LOPPIR","*","pale eyed pygmy tyrant"
NA,"NOBE",NA,"Northern Bentbill","Oncostoma cinereigulare","ONCCIN",NA,"northern bentbill"
NA,"SOBE",NA,"Southern Bentbill","Oncostoma olivaceum","ONCOLI",NA,"southern bentbill"
NA,"SHTF",NA,"Slate-headed Tody-Flycatcher","Poecilotriccus sylvia","POESYL",NA,"slate headed tody flycatcher"
NA,"COTF",NA,"Common Tody-Flycatcher","Todirostrum cinereum","TODCIN",NA,"common tody flycatcher"
NA,"BHTF",NA,"Black-headed Tody-Flycatcher","Todirostrum nigriceps","TODNIG",NA,"black headed tody flycatcher"
NA,"BRTW",NA,"Brownish Twistwing","Cnipodectes subbrunneus","CNISUB",NA,"brownish twistwing"
NA,"ERFL",NA,"Eye-ringed Flatbill","Rhynchocyclus brevirostris","RHYBRE",NA,"eye ringed flatbill"
NA,"OLFL",NA,"Olivaceous Flatbill","Rhynchocyclus olivaceus","RHYOLI",NA,"olivaceous flatbill"
NA,"YOFL",NA,"Yellow-olive Flycatcher","Tolmomyias sulphurescens","TOLSUL",NA,"yellow olive flycatcher"
NA,"YMFL",NA,"Yellow-margined Flycatcher","Tolmomyias assimilis","TOLASS",NA,"yellow margined flycatcher"
NA,"YBRF","*","Yellow-breasted Flycatcher","Tolmomyias flaviventris","TOLFLA",NA,"yellow breasted flycatcher"
NA,"YBTY",NA,"Yellow-bellied Tyrannulet","Ornithion semiflavum","ORNSEM",NA,"yellow bellied tyrannulet"
NA,"BCTY",NA,"Brown-capped Tyrannulet","Ornithion brunneicapillus","ORNBRU",NA,"brown capped tyrannulet"
NA,"NOBT",NA,"Northern Beardless-Tyrannulet","Camptostoma imberbe","CAMIMB",NA,"northern beardless tyrannulet"
NA,"SOBT",NA,"Southern Beardless-Tyrannulet","Camptostoma obsoletum","CAMOBS",NA,"southern beardless tyrannulet"
NA,"COCF","*","Cocos Flycatcher","Nesotriccus ridgwayi","NESRID",NA,"cocos flycatcher"
NA,"MCTY",NA,"Mouse-colored Tyrannulet","Nesotriccus murinus","NESMUR",NA,"mouse colored tyrannulet"
NA,"YETY",NA,"Yellow Tyrannulet","Capsiempis flaveola","CAPFLA",NA,"yellow tyrannulet"
NA,"YCTY",NA,"Yellow-crowned Tyrannulet","Tyrannulus elatus","TYRELA",NA,"yellow crowned tyrannulet"
NA,"FOEL",NA,"Forest Elaenia","Myiopagis gaimardii","MYIGAI",NA,"forest elaenia"
NA,"GRAE","*","Gray Elaenia","Myiopagis caniceps","MYICAN",NA,"gray elaenia"
NA,"JAEL",NA,"Jamaican Elaenia","Myiopagis cotta","MYICOT",NA,"jamaican elaenia"
NA,"GREL",NA,"Greenish Elaenia","Myiopagis viridicata","MYIVIR",NA,"greenish elaenia"
NA,"CAEL",NA,"Caribbean Elaenia","Elaenia martinica","ELAMAR",NA,"caribbean elaenia"
NA,"YBEL",NA,"Yellow-bellied Elaenia","Elaenia flavogaster","ELAFLA",NA,"yellow bellied elaenia"
NA,"WCEL",NA,"White-crested Elaenia","Elaenia albiceps","ELAALB",NA,"white crested elaenia"
NA,"LEEL",NA,"Lesser Elaenia","Elaenia chiriquensis","ELACHI",NA,"lesser elaenia"
NA,"MOEL",NA,"Mountain Elaenia","Elaenia frantzii","ELAFRA",NA,"mountain elaenia"
NA,"GAEL",NA,"Greater Antillean Elaenia","Elaenia fallax","ELAFAL",NA,"greater antillean elaenia"
NA,"TOTY",NA,"Torrent Tyrannulet","Serpophaga cinerea","SERCIN",NA,"torrent tyrannulet"
NA,"RLTY",NA,"Rough-legged Tyrannulet","Phyllomyias burmeisteri","PHYBUR",NA,"rough legged tyrannulet"
NA,"SHTY",NA,"Sooty-headed Tyrannulet","Phyllomyias griseiceps","PHYGRI",NA,"sooty headed tyrannulet"
NA,"PATY",NA,"Paltry Tyrannulet","Zimmerius vilissimus","ZIMVIL",NA,"paltry tyrannulet"
NA,"BRAT",NA,"Bright-rumped Attila","Attila spadiceus","ATTSPA",NA,"bright rumped attila"
NA,"CHSI",NA,"Choco Sirystes","Sirystes albogriseus","SIRALB",NA,"choco sirystes"
NA,"RMOU","*","Rufous Mourner","Rhytipterna holerythra","RHYHOL",NA,"rufous mourner"
NA,"YUFL",NA,"Yucatan Flycatcher","Myiarchus yucatanensis","MYIYUC",NA,"yucatan flycatcher"
NA,"SAFL",NA,"Sad Flycatcher","Myiarchus barbirostris","MYIBAR",NA,"sad flycatcher"
NA,"DCFL",NA,"Dusky-capped Flycatcher","Myiarchus tuberculifer","MYITUB",NA,"dusky capped flycatcher"
NA,"PAFL",NA,"Panama Flycatcher","Myiarchus panamensis","MYIPAN",NA,"panama flycatcher"
NA,"ATFL",NA,"Ash-throated Flycatcher","Myiarchus cinerascens","MYICIN",NA,"ash throated flycatcher"
NA,"NUFL",NA,"Nutting's Flycatcher","Myiarchus nuttingi","MYINUT",NA,"nuttings flycatcher"
NA,"GCFL",NA,"Great Crested Flycatcher","Myiarchus crinitus","MYICRI",NA,"great crested flycatcher"
NA,"BCFL",NA,"Brown-crested Flycatcher","Myiarchus tyrannulus","MYITYR",NA,"brown crested flycatcher"
NA,"GFLY","*","Grenada Flycatcher","Myiarchus nugator","MYINUG",NA,"grenada flycatcher"
NA,"RFTF","*","Rufous-tailed Flycatcher","Myiarchus validus","MYIVAL",NA,"rufous tailed flycatcher"
NA,"LSFL",NA,"La Sagra's Flycatcher","Myiarchus sagrae","MYISAG",NA,"la sagras flycatcher"
NA,"STOF","*","Stolid Flycatcher","Myiarchus stolidus","MYISTO",NA,"stolid flycatcher"
NA,"PRFL",NA,"Puerto Rican Flycatcher","Myiarchus antillarum","MYIANT",NA,"puerto rican flycatcher"
NA,"LAFL",NA,"Lesser Antillean Flycatcher","Myiarchus oberi","MYIOBE",NA,"lesser antillean flycatcher"
NA,"FLFL",NA,"Flammulated Flycatcher","Deltarhynchus flammulatus","DELFLA",NA,"flammulated flycatcher"
NA,"LEKI",NA,"Lesser Kiskadee","Pitangus lictor","PITLIC",NA,"lesser kiskadee"
NA,"GKIS","*","Great Kiskadee","Pitangus sulphuratus","PITSUL",NA,"great kiskadee"
NA,"CATY",NA,"Cattle Tyrant","Machetornis rixosa","MACRIX",NA,"cattle tyrant"
NA,"BOBF","*","Boat-billed Flycatcher","Megarynchus pitangua","MEGPIT",NA,"boat billed flycatcher"
NA,"RMFL",NA,"Rusty-margined Flycatcher","Myiozetetes cayanensis","MYICAY",NA,"rusty margined flycatcher"
NA,"SOFL",NA,"Social Flycatcher","Myiozetetes similis","MYISIM",NA,"social flycatcher"
NA,"GCAF","*","Gray-capped Flycatcher","Myiozetetes granadensis","MYIGRA",NA,"gray capped flycatcher"
NA,"WRFL",NA,"White-ringed Flycatcher","Conopias albovittatus","CONALB",NA,"white ringed flycatcher"
NA,"GBFL",NA,"Golden-bellied Flycatcher","Myiodynastes hemichrysus","MYIHEM",NA,"golden bellied flycatcher"
NA,"GOCF","*","Golden-crowned Flycatcher","Myiodynastes chrysocephalus","MYICHR",NA,"golden crowned flycatcher"
NA,"STRF","*","Streaked Flycatcher","Myiodynastes maculatus","MYIMAC",NA,"streaked flycatcher"
NA,"SBFL",NA,"Sulphur-bellied Flycatcher","Myiodynastes luteiventris","MYILUT",NA,"sulphur bellied flycatcher"
NA,"PIRF","*","Piratic Flycatcher","Legatus leucophaius","LEGLEU",NA,"piratic flycatcher"
NA,"VAFL",NA,"Variegated Flycatcher","Empidonomus varius","EMPVAR",NA,"variegated flycatcher"
NA,"CSFL",NA,"Crowned Slaty Flycatcher","Empidonomus aurantioatrocristatus","EMPAUR",NA,"crowned slaty flycatcher"
NA,"TRKI",NA,"Tropical Kingbird","Tyrannus melancholicus","TYRMEL",NA,"tropical kingbird"
NA,"COKI",NA,"Couch's Kingbird","Tyrannus couchii","TYRCOU",NA,"couchs kingbird"
NA,"CAKI",NA,"Cassin's Kingbird","Tyrannus vociferans","TYRVOC",NA,"cassins kingbird"
NA,"TBKI",NA,"Thick-billed Kingbird","Tyrannus crassirostris","TYRCRA",NA,"thick billed kingbird"
NA,"WEKI",NA,"Western Kingbird","Tyrannus verticalis","TYRVER",NA,"western kingbird"
NA,"EAKI",NA,"Eastern Kingbird","Tyrannus tyrannus","TYRTYR",NA,"eastern kingbird"
NA,"GRAK","*","Gray Kingbird","Tyrannus dominicensis","TYRDOM",NA,"gray kingbird"
NA,"LOKI",NA,"Loggerhead Kingbird","Tyrannus caudifasciatus","TYRCAU",NA,"loggerhead kingbird"
NA,"GIKI",NA,"Giant Kingbird","Tyrannus cubensis","TYRCUB",NA,"giant kingbird"
NA,"STFL",NA,"Scissor-tailed Flycatcher","Tyrannus forficatus","TYRFOR",NA,"scissor tailed flycatcher"
NA,"FTFL",NA,"Fork-tailed Flycatcher","Tyrannus savana","TYRSAV",NA,"fork tailed flycatcher"
NA,"BCOF","*","Bran-colored Flycatcher","Myiophobus fasciatus","MYIFAS",NA,"bran colored flycatcher"
NA,"EUFL",NA,"Euler's Flycatcher","Lathrotriccus euleri","LATEUL",NA,"eulers flycatcher"
NA,"TCFL",NA,"Tawny-chested Flycatcher","Aphanotriccus capitalis","APHCAP",NA,"tawny chested flycatcher"
NA,"BLBF","*","Black-billed Flycatcher","Aphanotriccus audax","APHAUD",NA,"black billed flycatcher"
NA,"BEFL",NA,"Belted Flycatcher","Xenotriccus callizonus","XENCAL",NA,"belted flycatcher"
NA,"PILF","*","Pileated Flycatcher","Xenotriccus mexicanus","XENMEX",NA,"pileated flycatcher"
NA,"TUFL",NA,"Tufted Flycatcher","Mitrephanes phaeocercus","MITPHA",NA,"tufted flycatcher"
NA,"OSFL",NA,"Olive-sided Flycatcher","Contopus cooperi","CONCOO",NA,"olive sided flycatcher"
NA,"GRPE",NA,"Greater Pewee","Contopus pertinax","CONPER",NA,"greater pewee"
NA,"DAPE",NA,"Dark Pewee","Contopus lugubris","CONLUG",NA,"dark pewee"
NA,"OCPE",NA,"Ochraceous Pewee","Contopus ochraceus","CONOCH",NA,"ochraceous pewee"
NA,"WEWP",NA,"Western Wood-Pewee","Contopus sordidulus","CONSOR",NA,"western wood pewee"
NA,"EAWP",NA,"Eastern Wood-Pewee","Contopus virens","CONVIR",NA,"eastern wood pewee"
NA,"TROP","*","Tropical Pewee","Contopus cinereus","CONCIN",NA,"tropical pewee"
NA,"CUPE",NA,"Cuban Pewee","Contopus caribaeus","CONCAB","*","cuban pewee"
NA,"JAPE",NA,"Jamaican Pewee","Contopus pallidus","CONPAL",NA,"jamaican pewee"
NA,"HIPE",NA,"Hispaniolan Pewee","Contopus hispaniolensis","CONHIS",NA,"hispaniolan pewee"
NA,"LAPE",NA,"Lesser Antillean Pewee","Contopus latirostris","CONLAT",NA,"lesser antillean pewee"
NA,"YBFL",NA,"Yellow-bellied Flycatcher","Empidonax flaviventris","EMPFLT","*","yellow bellied flycatcher"
NA,"ACFL",NA,"Acadian Flycatcher","Empidonax virescens","EMPVIR",NA,"acadian flycatcher"
NA,"ALFL",NA,"Alder Flycatcher","Empidonax alnorum","EMPALN",NA,"alder flycatcher"
"+","TRFL",NA,"Traill's Flycatcher","Empidonax alnorum/traillii","EMPALT",NA,"traills flycatcher"
NA,"WIFL",NA,"Willow Flycatcher","Empidonax traillii","EMPTRA",NA,"willow flycatcher"
"+","SWFL",NA,"Southwestern Willow Flycatcher","Empidonax traillii extimus","EMPTEX",NA,"southwestern willow flycatcher"
NA,"WTFL",NA,"White-throated Flycatcher","Empidonax albigularis","EMPALB",NA,"white throated flycatcher"
NA,"LEFL",NA,"Least Flycatcher","Empidonax minimus","EMPMIN",NA,"least flycatcher"
NA,"HAFL",NA,"Hammond's Flycatcher","Empidonax hammondii","EMPHAM",NA,"hammonds flycatcher"
"+","HDFL",NA,"Hammond's/Dusky Flycatcher","Empidonax hammondii/oberholsri","EMPHAO",NA,"hammonds/dusky flycatcher"
NA,"GRFL",NA,"Gray Flycatcher","Empidonax wrightii","EMPWRI",NA,"gray flycatcher"
NA,"DUFL",NA,"Dusky Flycatcher","Empidonax oberholseri","EMPOBE",NA,"dusky flycatcher"
NA,"PINF","*","Pine Flycatcher","Empidonax affinis","EMPAFF",NA,"pine flycatcher"
NA,"PSFL",NA,"Pacific-slope Flycatcher","Empidonax difficilis","EMPDIF",NA,"pacific slope flycatcher"
"+","WEFL",NA,"Western Flycatcher","Empidonax difficilis/occidentalis","EMPDIO",NA,"western flycatcher"
NA,"COFL",NA,"Cordilleran Flycatcher","Empidonax occidentalis","EMPOCC",NA,"cordilleran flycatcher"
NA,"YEFL",NA,"Yellowish Flycatcher","Empidonax flavescens","EMPFLC","*","yellowish flycatcher"
NA,"BBFL",NA,"Buff-breasted Flycatcher","Empidonax fulvifrons","EMPFUL",NA,"buff breasted flycatcher"
NA,"BCAF","*","Black-capped Flycatcher","Empidonax atriceps","EMPATR",NA,"black capped flycatcher"
