"ID","BooksCommonName","BooksLatinName","ModernLatinName(ifDifferent)","SurveyedIn","ConservationStatus:2012","Migration","BuildsNest","TypeOfNest","Diet","Family","ModernName","Order","Waterfowl?","SeenToday"
165,"Olive-sided flycatcher",,"Contopus cooperi","2013","Least Concern","Migration","Tree","Cup","insectivore","Tyrannidae","Olive-sided flycatcher","Passeriformes",0,0
166,"Alder Flycatcher",,"Empidonax alnorum","2013","Least Concern","Migration","shrub","Cup","insectivore","Tyrannidae","Alder flycatcher","Passeriformes",0,0
167,"Bank Swallow",,"Riparia riparia","2013","Least Concern","Summer (breeding)","Vertical banks and bluffs","burrow","insectivore","Hirundinidae","Bank Swallow","Passeriformes",0,0
168,"Acadian Flycatcher",,"Empidonax virescens","2013","Least Concern","Summer (breeding)","Tree","Cup","insectivore","Tyrannidae","Acadian flycatcher","Passeriformes",0,0
169,"Blue-winged Warbler",,"Vermivora cyanoptera","2013","Least Concern","Summer (breeding)","ground","Cup","insectivore","Parulidae","Blue-winged Warbler","Passeriformes",0,0
170,"Virginia Rail",,"Rallus limicola","2013","Least Concern","Summer (breeding)","ground","Basket","insectivore","Rallidae","Virginia Rail","Gruiformes",1,0
171,"Pine Siskin",,"Spinus pinus","2013","Least Concern","Summer (breeding)","Tree","Cup","seed-eater","Fringillidae","Pine Siskin","Passeriformes",0,0
172,"Shoveler",,"Anas clypeata","2013","Least Concern","Migration","ground","Small scrape","omnivore","Anatidae","Northern shoveler",,1,0
173,"greylag",,"Anser anser","2012 & 2013","Least Concern","Year round","ground","Cup","herbivore","Anatidae","greylag goose","Anseriformes",1,0
174,,,,,,,,,,"Empidonax","Empidonax flycatcher","Passeriformes",0,0
175,,,,"2012 & 2013","Least Concern","Year round","ground","Cup","omnivore",,"Domestic duck",,1,0
176,,,,"2013","Least Concern","Summer (breeding)","ground","Cup","omnivore","Anatidae","Gadwall","Anseriformes",1,0
177,,,,"2013","Least Concern",,,,,,"American wigeon",,1,0
178,,,,,,,,,,,"American Black Duck",,1,0
179,,,,,,,,,,,"yellow-throated warbler",,0,0
180,,,,,,,,,,,"great blue heron",,1,0
181,,,,,,,,,,,"Turkey Vulture",,0,0
182,"Brewster's Warbler",,,,,,,,,,"Brewster's Warbler","Passeriformes",0,0
183,"Red-tailed hawk","Buteo jamaicensis",,,,,,,,,"Red-tailed hawk",,0,0
184,"Ring-necked duck",,,,,,,,,,"Ring-necked duck",,0,0
185,"great horned owl",,,"2012","Least Concern","Year round","Tree","cavity","carnivore","Strigidae","great horned owl","Strigiformes",0,0
186,"ruddy duck",,,"2012","Least Concern","Winter (non-breeding)",,,"omnivore","Anatidae","ruddy duck","Anseriformes",1,0
187,"long eared owl",,,"2012","Least Concern","Migration","Tree","Cup","carnivore","Strigidae","long eared owl","Strigiformes",0,0
188,"american pipit",,,"2012","Least Concern","Migration","ground",,"insectivore","Motacillidae","american pipit","Passeriformes",0,0
189,"cliff swallow",,,"2012","Least Concern","Summer (breeding)",,"Cup","insectivore","Hirundinidae","cliff swallow","Passeriformes",0,0
