"","ModernName","Date","Time","Location","n","Observer","Weather","Year"
"556","barn swallow",2012-05-19,7H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"557","blue gray gnatcatcher",2012-05-19,7H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"558","downy woodpecker",2012-05-19,7H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"559","wood duck",2012-05-19,7H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"560","yellow warbler",2012-05-19,7H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"561","song sparrow",2012-05-19,7H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"562","blackpoll warbler",2012-05-19,7H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"563","blackpoll warbler",2012-05-19,7H 22M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"564","red winged blackbird",2012-05-19,7H 22M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"565","canada goose",2012-05-19,7H 5M 0S,"South of Conservatory",7,"Mason Fidino","Sunny",2012
"566","european starling",2012-05-19,7H 5M 0S,"South of Conservatory",9,"Mason Fidino","Sunny",2012
"567","american robin",2012-05-19,7H 5M 0S,"South of Conservatory",2,"Mason Fidino","Sunny",2012
"568","northern cardinal",2012-05-19,7H 5M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"569","common grackle",2012-05-19,7H 5M 0S,"South of Conservatory",7,"Mason Fidino","Sunny",2012
"570","house sparrow",2012-05-19,7H 5M 0S,"South of Conservatory",8,"Mason Fidino","Sunny",2012
"571","blackpoll warbler",2012-05-19,7H 5M 0S,"South of Conservatory",3,"Mason Fidino","Sunny",2012
"572","house finch",2012-05-19,7H 5M 0S,"South of Conservatory",2,"Mason Fidino","Sunny",2012
"573","green heron",2012-05-19,7H 5M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"574","common yellowthroat",2012-05-19,7H 5M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"575","gray catbird",2012-05-19,7H 5M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"576","chimney swift",2012-05-19,7H 5M 0S,"South of Conservatory",2,"Mason Fidino","Sunny",2012
"577","ring billed gull",2012-05-19,7H 5M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"578","american crow",2012-05-19,7H 5M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"579","chimney swift",2012-05-18,11H 22M 0S,"Nature Boardwalk",3,"Mason Fidino","Sunny",2012
"580","common grackle",2012-05-18,11H 22M 0S,"Nature Boardwalk",5,"Mason Fidino","Sunny",2012
"581","house sparrow",2012-05-18,11H 22M 0S,"Nature Boardwalk",15,"Mason Fidino","Sunny",2012
"582","red winged blackbird",2012-05-18,11H 22M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"583","canada goose",2012-05-18,11H 22M 0S,"Nature Boardwalk",28,"Mason Fidino","Sunny",2012
"584","green heron",2012-05-18,11H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"585","ring billed gull",2012-05-18,11H 22M 0S,"Nature Boardwalk",5,"Mason Fidino","Sunny",2012
"586","european starling",2012-05-18,11H 22M 0S,"Nature Boardwalk",4,"Mason Fidino","Sunny",2012
"587","blackburnian warbler",2012-05-18,11H 22M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"588","blackpoll warbler",2012-05-18,11H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"589","american robin",2012-05-18,11H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"590","warbling vireo",2012-05-18,11H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"591","mallard",2012-05-18,11H 22M 0S,"Nature Boardwalk",11,"Mason Fidino","Sunny",2012
"592","red winged blackbird",2012-05-18,11H 22M 0S,"Nature Boardwalk",5,"Mason Fidino","Sunny",2012
"593","northern waterthrush",2012-05-18,11H 22M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"594","european starling",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",33,"Mason Fidino","Sunny",2012
"595","american robin",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"596","common grackle",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",5,"Mason Fidino","Sunny",2012
"597","house sparrow",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"598","red winged blackbird",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"599","cooper's hawk",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"600","rock pigeon",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",40,"Mason Fidino","Sunny",2012
"601","american redstart",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"602","black capped chickadee",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"603","blackburnian warbler",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"604","gray catbird",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"605","ring billed gull",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",17,"Mason Fidino","Sunny",2012
"606","canada goose",2012-05-18,11H 49M 0S,"South of Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"607","european starling",2012-05-18,11H 0M 0S,"South of Conservatory",14,"Mason Fidino","Sunny",2012
"608","house sparrow",2012-05-18,11H 0M 0S,"South of Conservatory",17,"Mason Fidino","Sunny",2012
"609","american robin",2012-05-18,11H 0M 0S,"South of Conservatory",4,"Mason Fidino","Sunny",2012
"610","house finch",2012-05-18,11H 0M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"611","wilson's warbler",2012-05-18,11H 0M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"612","chestnut sided warbler",2012-05-18,11H 0M 0S,"South of Conservatory",2,"Mason Fidino","Sunny",2012
"613","common grackle",2012-05-18,11H 0M 0S,"South of Conservatory",5,"Mason Fidino","Sunny",2012
"614","ring billed gull",2012-05-18,11H 0M 0S,"South of Conservatory",2,"Mason Fidino","Sunny",2012
"615","american crow",2012-05-18,11H 0M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"616","red winged blackbird",2012-05-18,10H 49M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"617","american robin",2012-05-18,10H 49M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"618","barn swallow",2012-05-18,10H 49M 0S,"Lily Pond",4,"Mason Fidino","Sunny",2012
"619","northern cardinal",2012-05-18,10H 49M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"620","eastern meadowlark",2012-05-18,10H 49M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"621","eastern phoebe",2012-05-18,10H 49M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"622","common grackle",2012-05-18,10H 49M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"623","canada goose",2012-05-18,10H 49M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"624","house sparrow",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",36,"Mason Fidino","Sunny",2012
"625","common grackle",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",28,"Mason Fidino","Sunny",2012
"626","american crow",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"627","black throated green warbler",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"628","ring billed gull",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",3,"Mason Fidino","Sunny",2012
"629","nashville warbler",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"630","red winged blackbird",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",3,"Mason Fidino","Sunny",2012
"631","willow flycatcher",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"632","american robin",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",4,"Mason Fidino","Sunny",2012
"633","wilson's warbler",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"634","canada goose",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",5,"Mason Fidino","Sunny",2012
"635","american redstart",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"636","bay breasted warbler",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"637","mallard",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",10,"Mason Fidino","Sunny",2012
"638","wilson's warbler",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"639","european starling",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",5,"Mason Fidino","Sunny",2012
"640","red winged blackbird",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"641","canada warbler",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"642","white crowned sparrow",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"643","magnolia warbler",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",2,"Mason Fidino","Sunny",2012
"644","gray catbird",2012-05-18,8H 7M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"645","red winged blackbird",2012-05-17,11H 28M 0S,"Lincoln Park Zoo",4,"Mason Fidino","Sunny",2012
"646","yellow rumped warbler",2012-05-17,11H 28M 0S,"Lincoln Park Zoo",1,"Mason Fidino","Sunny",2012
"647","red winged blackbird",2012-05-17,9H 22M 0S,"North Pond",10,"Mason Fidino","Sunny",2012
"648","american goldfinch",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"649","barn swallow",2012-05-17,9H 22M 0S,"North Pond",4,"Mason Fidino","Sunny",2012
"650","magnolia warbler",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"651","red winged blackbird",2012-05-17,9H 22M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"652","common yellowthroat",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"653","yellow warbler",2012-05-17,9H 22M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"654","northern rough winged swallow",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"655","tree swallow",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"656","northern waterthrush",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"657","northern flicker",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"658","blackpoll warbler",2012-05-17,9H 22M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"659","double crested cormorant",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"660","scarlet tanager",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"661","yellow warbler",2012-05-17,9H 22M 0S,"North Pond",3,"Mason Fidino","Sunny",2012
"662","caspian tern",2012-05-17,9H 22M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"663","blackpoll warbler",2012-05-17,9H 22M 0S,"North Pond",4,"Mason Fidino","Sunny",2012
"664","cape may warbler",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"665","cape may warbler",2012-05-17,9H 22M 0S,"North Pond",3,"Mason Fidino","Sunny",2012
"666","domestic goose",2012-05-17,9H 22M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"667","brown thrasher",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"668","downy woodpecker",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"669","brown headed cowbird",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"670","eastern meadowlark",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"671","palm warbler",2012-05-17,9H 22M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"672","yellow rumped warbler",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"673","hermit thrush",2012-05-17,9H 22M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"674","domestic goose",2012-05-17,9H 22M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"675","mallard",2012-05-17,8H 17M 0S,"Nature Boardwalk",10,"Mason Fidino","Sunny",2012
"676","black capped chickadee",2012-05-17,8H 17M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"677","blackpoll warbler",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"678","red winged blackbird",2012-05-17,8H 17M 0S,"Nature Boardwalk",4,"Mason Fidino","Sunny",2012
"679","red winged blackbird",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"680","common grackle",2012-05-17,8H 17M 0S,"Nature Boardwalk",5,"Mason Fidino","Sunny",2012
"681","wilson's warbler",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"682","american goldfinch",2012-05-17,8H 17M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"683","canada goose",2012-05-17,8H 17M 0S,"Nature Boardwalk",33,"Mason Fidino","Sunny",2012
"684","black crowned night heron",2012-05-17,8H 17M 0S,"Nature Boardwalk",7,"Mason Fidino","Sunny",2012
"685","wood duck",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"686","spotted sandpiper",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"687","northern rough winged swallow",2012-05-17,8H 17M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"688","european starling",2012-05-17,8H 17M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"689","blackpoll warbler",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"690","gray catbird",2012-05-17,8H 17M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"691","green heron",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"692","gray catbird",2012-05-17,8H 17M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"693","house sparrow",2012-05-17,8H 17M 0S,"Nature Boardwalk",7,"Mason Fidino","Sunny",2012
"694","american goldfinch",2012-05-17,7H 51M 0S,"South of Conservatory",2,"Mason Fidino","Sunny",2012
"695","house sparrow",2012-05-17,7H 51M 0S,"South of Conservatory",10,"Mason Fidino","Sunny",2012
"696","european starling",2012-05-17,7H 51M 0S,"South of Conservatory",5,"Mason Fidino","Sunny",2012
"697","common grackle",2012-05-17,7H 51M 0S,"South of Conservatory",11,"Mason Fidino","Sunny",2012
"698","barn swallow",2012-05-17,7H 51M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"699","yellow warbler",2012-05-17,7H 51M 0S,"South of Conservatory",2,"Mason Fidino","Sunny",2012
"700","northern cardinal",2012-05-17,7H 51M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"701","mourning dove",2012-05-17,7H 51M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"702","yellow rumped warbler",2012-05-17,7H 51M 0S,"South of Conservatory",1,"Mason Fidino","Sunny",2012
"703","chimney swift",2012-05-17,7H 51M 0S,"South of Conservatory",5,"Mason Fidino","Sunny",2012
"704","american crow",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"705","american robin",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"706","red winged blackbird",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"707","american goldfinch",2012-05-17,7H 50M 0S,"Lily Pond",3,"Mason Fidino","Sunny",2012
"708","common grackle",2012-05-17,7H 50M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"709","northern cardinal",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"710","canada goose",2012-05-17,7H 50M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"711","red winged blackbird",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"712","mallard",2012-05-17,7H 50M 0S,"Lily Pond",7,"Mason Fidino","Sunny",2012
"713","house sparrow",2012-05-17,7H 50M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"714","warbling vireo",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"715","gray catbird",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"716","blackpoll warbler",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"717","cooper's hawk",2012-05-17,7H 50M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"718","eastern towhee",2012-05-17,7H 30M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"719","blackpoll warbler",2012-05-17,10H 47M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"720","white crowned sparrow",2012-05-17,10H 47M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"721","red winged blackbird",2012-05-17,10H 47M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"722","yellow warbler",2012-05-17,10H 47M 0S,"South of Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"723","brown headed cowbird",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"724","chimney swift",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"725","palm warbler",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"726","northern rough winged swallow",2012-05-17,12H 22M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"727","warbling vireo",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"728","blackpoll warbler",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"729","black capped chickadee",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"730","red winged blackbird",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"731","black capped chickadee",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"732","yellow warbler",2012-05-17,12H 22M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"733","northern cardinal",2012-05-17,12H 22M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"734","american crow",2012-05-17,9H 22M 0S,"North Pond",7,"Lauren Bainbridge","Sunny",2012
"735","american robin",2012-05-17,9H 22M 0S,"North Pond",14,"Lauren Bainbridge","Sunny",2012
"736","rock pigeon",2012-05-17,9H 22M 0S,"North Pond",3,"Lauren Bainbridge","Sunny",2012
"737","canada goose",2012-05-17,9H 22M 0S,"North Pond",72,"Lauren Bainbridge","Sunny",2012
"738","common grackle",2012-05-17,9H 22M 0S,"North Pond",14,"Lauren Bainbridge","Sunny",2012
"739","european starling",2012-05-17,9H 22M 0S,"North Pond",32,"Lauren Bainbridge","Sunny",2012
"740","green heron",2012-05-17,9H 22M 0S,"North Pond",3,"Lauren Bainbridge","Sunny",2012
"741","house sparrow",2012-05-17,9H 22M 0S,"North Pond",28,"Lauren Bainbridge","Sunny",2012
"742","mallard",2012-05-17,9H 22M 0S,"North Pond",83,"Lauren Bainbridge","Sunny",2012
"743","ring billed gull",2012-05-17,9H 22M 0S,"North Pond",9,"Lauren Bainbridge","Sunny",2012
"744","wood duck",2012-05-17,9H 22M 0S,"North Pond",14,"Lauren Bainbridge","Sunny",2012
"745","yellow warbler",2012-05-18,9H 34M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"746","red winged blackbird",2012-05-18,9H 34M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"747","eastern phoebe",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"748","blackpoll warbler",2012-05-18,9H 34M 0S,"North Pond",3,"Mason Fidino","Sunny",2012
"749","red winged blackbird",2012-05-18,9H 34M 0S,"North Pond",11,"Mason Fidino","Sunny",2012
"750","domestic goose",2012-05-18,9H 34M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"751","northern flicker",2012-05-18,9H 34M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"752","northern waterthrush",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"753","domestic goose",2012-05-18,9H 34M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"754","house finch",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"755","wilson's warbler",2012-05-18,9H 34M 0S,"North Pond",3,"Mason Fidino","Sunny",2012
"756","mourning dove",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"757","barn swallow",2012-05-18,9H 34M 0S,"North Pond",2,"Mason Fidino","Sunny",2012
"758","white crowned sparrow",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"759","hermit thrush",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"760","nashville warbler",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"761","american goldfinch",2012-05-18,9H 34M 0S,"North Pond",3,"Mason Fidino","Sunny",2012
"762","yellow rumped warbler",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"763","warbling vireo",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"764","common yellowthroat",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"765","song sparrow",2012-05-18,9H 34M 0S,"North Pond",1,"Mason Fidino","Sunny",2012
"766","willow flycatcher",2012-05-18,10H 13M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"767","red winged blackbird",2012-05-18,10H 13M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"768","barn swallow",2012-05-18,10H 13M 0S,"Canal",4,"Mason Fidino","Sunny",2012
"769","red winged blackbird",2012-05-18,10H 13M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"770","american goldfinch",2012-05-18,10H 13M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"771","brown headed cowbird",2012-05-18,10H 13M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"772","warbling vireo",2012-05-18,10H 13M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"773","least flycatcher",2012-05-18,10H 13M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"774","canada goose",2012-05-16,12H 59M 0S,"Nature Boardwalk",36,"Mason Fidino","Sunny",2012
"775","ring billed gull",2012-05-16,12H 59M 0S,"Nature Boardwalk",3,"Mason Fidino","Sunny",2012
"776","black crowned night heron",2012-05-16,12H 59M 0S,"Nature Boardwalk",3,"Mason Fidino","Sunny",2012
"777","common grackle",2012-05-16,12H 59M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"778","red winged blackbird",2012-05-16,12H 59M 0S,"Nature Boardwalk",4,"Mason Fidino","Sunny",2012
"779","caspian tern",2012-05-16,12H 59M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"780","wood duck",2012-05-16,12H 59M 0S,"Nature Boardwalk",2,"Mason Fidino","Sunny",2012
"781","mallard",2012-05-16,12H 59M 0S,"Nature Boardwalk",5,"Mason Fidino","Sunny",2012
"782","american crow",2012-05-16,12H 59M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"783","european starling",2012-05-16,12H 59M 0S,"Nature Boardwalk",3,"Mason Fidino","Sunny",2012
"784","red winged blackbird",2012-05-16,12H 59M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"785","house sparrow",2012-05-16,12H 59M 0S,"Nature Boardwalk",12,"Mason Fidino","Sunny",2012
"786","northern rough winged swallow",2012-05-16,12H 59M 0S,"Nature Boardwalk",1,"Mason Fidino","Sunny",2012
"787","american goldfinch",2012-05-16,12H 31M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"788","canada goose",2012-05-16,12H 31M 0S,"Canal",34,"Mason Fidino","Sunny",2012
"789","house sparrow",2012-05-16,12H 31M 0S,"Canal",6,"Mason Fidino","Sunny",2012
"790","common grackle",2012-05-16,12H 31M 0S,"Canal",18,"Mason Fidino","Sunny",2012
"791","white crowned sparrow",2012-05-16,12H 31M 0S,"Canal",3,"Mason Fidino","Sunny",2012
"792","blackpoll warbler",2012-05-16,12H 31M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"793","european starling",2012-05-16,12H 31M 0S,"Canal",13,"Mason Fidino","Sunny",2012
"794","blackpoll warbler",2012-05-16,12H 31M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"795","yellow rumped warbler",2012-05-16,12H 31M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"796","orange crowned warbler",2012-05-16,12H 31M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"797","ring billed gull",2012-05-16,12H 31M 0S,"Canal",19,"Mason Fidino","Sunny",2012
"798","mallard",2012-05-16,12H 31M 0S,"Canal",3,"Mason Fidino","Sunny",2012
"799","american robin",2012-05-16,12H 31M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"800","barn swallow",2012-05-16,12H 31M 0S,"Canal",2,"Mason Fidino","Sunny",2012
"801","palm warbler",2012-05-16,12H 31M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"802","rock pigeon",2012-05-16,12H 31M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"803","philadelphia vireo",2012-05-16,12H 31M 0S,"Canal",1,"Mason Fidino","Sunny",2012
"804","common grackle",2012-05-16,12H 17M 0S,"Lily Pond",2,"Mason Fidino","Sunny",2012
"805","european starling",2012-05-16,12H 17M 0S,"Lily Pond",3,"Mason Fidino","Sunny",2012
"806","blue gray gnatcatcher",2012-05-16,12H 17M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"807","red winged blackbird",2012-05-16,12H 17M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"808","american robin",2012-05-16,12H 17M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"809","mallard",2012-05-16,12H 17M 0S,"Lily Pond",6,"Mason Fidino","Sunny",2012
"810","american goldfinch",2012-05-16,12H 17M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"811","palm warbler",2012-05-16,12H 17M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"812","canada goose",2012-05-16,12H 17M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"813","eastern towhee",2012-05-16,12H 17M 0S,"Lily Pond",1,"Mason Fidino","Sunny",2012
"814","common grackle",2012-05-16,10H 55M 0S,"North Pond",4,"Mason Fidino","Sunny",2012
"815","european starling",2012-05-16,10H 55M 0S,"North Pond",8,"Mason Fidino","Sunny",2012
"816","canada goose",2012-05-16,10H 55M 0S,"North Pond",79,"Mason Fidino","Sunny",2012
